id,name,slug,brand,category,description,image,gallery,packSize,unit,sku,featured,available,sample,tags
1,Sample Portable Bluetooth Speaker 10W,sample-portable-bluetooth-speaker-10w,SampleAudio,Speakers,"Compact 10W Bluetooth speaker with TWS pairing, TF card slot and around 8 hours of playback. A steady counter line for everyday retail.",/images/products/sample-portable-bluetooth-speaker-10w.png,,20 pcs per carton,Per carton,PK-SPK-001,yes,yes,yes,bluetooth|speaker|portable|tws|wireless
2,Sample Party Speaker 40W with RGB,sample-party-speaker-40w-rgb,SampleAudio,Speakers,"Large 40W party speaker with RGB lighting, wireless mic input and a rechargeable battery. Sells well through the festival season.",/images/products/sample-party-speaker-40w-rgb.png,,4 pcs per carton,Per carton,PK-SPK-002,no,yes,yes,party speaker|rgb|karaoke|trolley|loud
3,Sample Wireless Over-Ear Headphones,sample-wireless-over-ear-headphones,SampleAudio,Headphones,"Foldable over-ear Bluetooth headphones with a built-in mic, AUX fallback and roughly 20 hours of playback per charge.",/images/products/sample-wireless-over-ear-headphones.png,,30 pcs per carton,Per carton,PK-HP-001,yes,yes,yes,headphones|over ear|bluetooth|wireless|foldable
4,Sample Wired Gaming Headset,sample-wired-gaming-headset,SampleGear,Headphones,Wired 3.5mm gaming headset with boom mic and RGB earcups. Popular with gaming and cyber-cafe customers.,/images/products/sample-wired-gaming-headset.png,,24 pcs per carton,Per carton,PK-HP-002,no,yes,yes,gaming|headset|wired|microphone|rgb
5,Sample TWS Wireless Earbuds,sample-tws-wireless-earbuds,SampleAudio,Earbuds,"True wireless earbuds with a charging case, touch controls and a digital battery display. One of the fastest-moving lines in the range.",/images/products/sample-tws-wireless-earbuds.png,,50 pcs per carton,Per carton,PK-EAR-001,yes,yes,yes,tws|earbuds|wireless|bluetooth|charging case
6,Sample Bluetooth Neckband Earphones,sample-bluetooth-neckband-earphones,SampleAudio,Earbuds,"Magnetic neckband earphones with around 12 hours of playback, sweat resistance and in-line controls.",/images/products/sample-bluetooth-neckband-earphones.png,,60 pcs per carton,Per carton,PK-EAR-002,no,yes,yes,neckband|earphones|bluetooth|magnetic|sports
7,Sample 20W USB-C Fast Charger,sample-20w-usb-c-fast-charger,SamplePower,Chargers & Adapters,Single-port 20W USB-C power delivery wall charger with built-in over-current protection. Supplied in retail-ready boxes.,/images/products/sample-20w-usb-c-fast-charger.png,,100 pcs per carton,Per carton,PK-CHG-001,yes,yes,yes,charger|usb-c|fast charging|pd|20w|adapter
8,Sample 3-Port Car Charger,sample-3-port-car-charger,SamplePower,Chargers & Adapters,Dual USB-A plus USB-C car charger with quick-charge support and an LED indicator ring.,/images/products/sample-3-port-car-charger.png,,80 pcs per carton,Per carton,PK-CHG-002,no,yes,yes,car charger|usb|quick charge|vehicle|adapter
9,Sample USB-C Fast Charging Cable 1m,sample-usb-c-fast-charging-cable-1m,SampleLink,Data Cables,Braided 1 metre USB-C to USB-A cable rated for 3A fast charging and data transfer. Supplied in hanging retail packs.,/images/products/sample-usb-c-fast-charging-cable-1m.png,,200 pcs per carton,Per carton,PK-CBL-001,yes,yes,yes,cable|usb-c|type c|braided|fast charging|data
10,Sample Lightning Charging Cable 1m,sample-lightning-charging-cable-1m,SampleLink,Data Cables,One metre Lightning to USB-A charging and sync cable with a reinforced strain relief collar.,/images/products/sample-lightning-charging-cable-1m.png,,200 pcs per carton,Per carton,PK-CBL-002,no,yes,yes,cable|lightning|iphone|charging|data|sync
11,Sample 4-Socket Multiplug with USB,sample-4-socket-multiplug-with-usb,SamplePower,Power & Multiplugs,"Four universal sockets plus two USB ports, with a master switch and child-safety shutters.",/images/products/sample-4-socket-multiplug-with-usb.png,,30 pcs per carton,Per carton,PK-PWR-001,yes,yes,yes,multiplug|extension|socket|usb|power strip
12,Sample Extension Board 2m Cord,sample-extension-board-2m-cord,SamplePower,Power & Multiplugs,"Extension board with a 2 metre copper cord, individual switches and surge protection.",/images/products/sample-extension-board-2m-cord.png,,20 pcs per carton,Per carton,PK-PWR-002,no,yes,yes,extension board|power strip|surge|cord|socket
13,Sample Magnetic Phone Cooling Fan,sample-magnetic-phone-cooling-fan,SampleGear,Phone Coolers,"Magnetic semiconductor phone cooler with RGB lighting and a USB-C feed, for gaming and long recording sessions.",/images/products/sample-magnetic-phone-cooling-fan.png,,40 pcs per carton,Per carton,PK-COOL-001,yes,yes,yes,phone cooler|cooling fan|gaming|magnetic|radiator
14,Sample 10000mAh Power Bank,sample-10000mah-power-bank,SamplePower,Mobile Accessories,"Slim 10000mAh power bank with dual output, USB-C input and a four-stage LED charge indicator.",/images/products/sample-10000mah-power-bank.png,,40 pcs per carton,Per carton,PK-ACC-001,yes,yes,yes,power bank|powerbank|10000mah|portable charger|battery
15,Sample Adjustable Phone Holder,sample-adjustable-phone-holder,SampleGear,Mobile Accessories,Foldable aluminium desk and car phone holder with an adjustable arm and non-slip pads.,/images/products/sample-adjustable-phone-holder.png,,60 pcs per carton,Per carton,PK-ACC-002,no,no,yes,phone holder|stand|mount|desk|car
